Samples	Donor	Tissue	Total_reads	Mapped_reads	Unmapped_reads	Valid_reads	Rep_reads	Unknown	Prop_unmap_valid	Prop_unmap_rep	Prop_unmap_unkwn	Prop_tot_mapped	Prop_tot_valid	Prop_tot_rep	Prop_tot_unkwn
LOSQ-2ZMD-C1-Ep4-R2-urine-urine	2ZMD	urine	28825517	27896035	929482	212	630750	298520	0.000228084029599282	0.678603781461072	0.321168134509329	0.967754888836859	7.35459488896591e-06	0.0218816543689399	0.0103561021993118
LOSQ-2ZMD-C2-E10-R0-urine-smartseq	2ZMD	urine	18858956	17045894	1813062	1912	1504090	307060	0.00105456956243085	0.829585529893627	0.169359900543942	0.903862016540046	0.000101384191150348	0.0797546799515307	0.0162819193172729
LOSQ-2ZMD-C2-E10-R0-urine-urine	2ZMD	urine	23249154	21998540	1250614	1310	977081	272223	0.00104748547513461	0.781281034755728	0.217671479769137	0.946208193209955	5.63461362938196e-05	0.0420265184703065	0.0117089421834446
LOSQ-2ZMD-C2-E2-R0-buccal-buccal	2ZMD	buccal	28292683	15962995	12329688	11306	11620504	697878	0.00091697373039772	0.942481594019248	0.0566014322503538	0.564209304575321	0.000399608619656185	0.410724709282609	0.0246663775224145
LOSQ-2ZMD-C2-E4-R0-hair-hair	2ZMD	hair	27186125	26369725	816400	64	458058	358278	7.83929446349829e-05	0.561070553650171	0.438851053405194	0.969969975493013	2.35414204856338e-06	0.0168489624762632	0.0131787078886748
LOSQ-2ZMD-C2-E9-R1-saliva-saliva	2ZMD	saliva	31119538	24405718	6713820	148762	732451	5832607	0.0221575794406165	0.10909601389373	0.868746406665654	0.784257079909091	0.00478034089066489	0.0235366926077116	0.187425886592532
LOSQ-2ZMD-C2-E9-R2-saliva-saliva	2ZMD	saliva	31503925	25017319	6486606	143854	676826	5665926	0.0221770830539114	0.104342085830402	0.873480831115687	0.794101655587359	0.00456622468470199	0.0214838627250414	0.179848257002897
LOSQ-2ZMD-C3-E11-R0-urine-urine	2ZMD	urine	17218521	16467621	750900	276	537645	212979	0.000367558929284858	0.716000799041151	0.283631642029565	0.956389982623943	1.60292512928375e-05	0.0312248072874552	0.0123691808373088
LOSQ-2ZMD-C3-E1-R0-buccal-buccal	2ZMD	buccal	32999422	29364910	3634512	53546	1968715	1612251	0.0147326518663303	0.541672444608795	0.443594903524875	0.889861343632019	0.00162263448129485	0.0596590752407724	0.048856946645914
LOSQ-2ZMD-C3-E1-R0-buccal-smartseq	2ZMD	buccal	25424901	18532505	6892396	39052	5292729	1560615	0.00566595419067622	0.76790843126251	0.226425614546814	0.728911589468923	0.00153597451569231	0.208171076064367	0.0613813599510181
LOSQ-2ZMD-C3-E6-R0-hair-hair	2ZMD	hair	31542908	30592086	950822	214	550928	399680	0.000225068414487675	0.579422857275074	0.420352074310439	0.969856235195563	6.78440935122405e-06	0.0174659863320148	0.0126709940630712
LOSQ-2ZMD-C3-E6-R0-hair-smartseq	2ZMD	hair	30364613	29410777	953836	122	522558	431156	0.000127904587371414	0.547848896455995	0.452023198956634	0.96858724990172	4.01783483952191e-06	0.0172094404759909	0.0141992917874501
LOSQ-2ZMD-C3-E8-R0-saliva-saliva	2ZMD	saliva	25627837	8497629	17130208	344848	1735482	15049878	0.0201309873178423	0.10131120416051	0.878557808521648	0.331578080506755	0.0134559931842863	0.06771862955114	0.587247296757819
LOSQ-2ZMD-C4-E12-R0-urine-urine	2ZMD	urine	37896759	36602319	1294440	350	849599	444491	0.00027038719446247	0.656344828651772	0.343384784153765	0.965842989370146	9.23561827543089e-06	0.022418777289108	0.0117289977224701
LOSQ-2ZMD-C4-E3-R1-buccal-buccal	2ZMD	buccal	28460727	19476143	8984584	150024	4000904	4833656	0.016697935040732	0.445307651417139	0.53799441354213	0.684316426632391	0.00527126380151849	0.1405763106473	0.169835998918791
LOSQ-2ZMD-C4-E3-R2-buccal-buccal	2ZMD	buccal	20687645	13898737	6788908	56020	2830311	3902577	0.00825169526527683	0.416902247018224	0.574846057716499	0.67183756295122	0.00270789642803712	0.136811657392613	0.18864288322813
LOSQ-2ZMD-C4-E5-R1-hair-hair	2ZMD	hair	35756320	34834484	921836	118	535116	386602	0.000128005415279941	0.580489371211365	0.419382623373355	0.974218935281931	3.30011589559552e-06	0.0149656340473516	0.0108121305548222
LOSQ-2ZMD-C4-E5-R2-hair-hair	2ZMD	hair	29002990	28301468	701522	114	405686	295722	0.000162503813137721	0.578294052075345	0.421543444111518	0.975812080064849	3.93062922133201e-06	0.0139877302305728	0.0101962590753574
LOSQ-2ZMD-C4-E7-R0-saliva-illumina	2ZMD	saliva	2340348	194732	2145616	137124	232161	1776331	0.0639089193965742	0.108202492897145	0.827888587706281	0.0832064291293432	0.0585912864240703	0.0991993498402802	0.759002934606306
LOSQ-2ZMD-C4-E7-R0-saliva-saliva	2ZMD	saliva	22556599	1643145	20913454	374644	1985378	18553432	0.0179140184113059	0.0949330512310401	0.887152930357654	0.0728454231952255	0.0166090641590073	0.0880176129389009	0.822527899706866
LOSQ-4QWR-C1-Ep1-R0-buccal-buccal	4QWR	buccal	25302707	18179267	7123440	20504	6193592	909344	0.00287838460069854	0.869466437563874	0.127655177835428	0.718471229185083	0.000810348078567246	0.244779817432182	0.0359386053041677
LOSQ-4QWR-C1-Ep2-R0-hair-hair	4QWR	hair	27775570	26829666	945904	1652	522414	421838	0.00174647744379979	0.55229071871987	0.44596280383633	0.965944749288673	5.94767272102787e-05	0.0188083988915439	0.0151873750925724
LOSQ-4QWR-C1-Ep3-R0-saliva-saliva	4QWR	saliva	21733936	10898492	10835444	428612	4522037	5884795	0.0395564777963875	0.41733748981583	0.543106032387782	0.501450450576463	0.0197208641821711	0.208063417505232	0.270765267736134
LOSQ-4QWR-C1-Ep4-R1-urine-urine	4QWR	urine	45709751	38812933	6896818	231148	1042599	5623071	0.0335151659794415	0.151171018286984	0.815313815733575	0.849117139141712	0.00505686412511851	0.0228091157180007	0.123016881015169
LOSQ-4QWR-C1-Ep4-R2-urine-urine	4QWR	urine	26504083	22194301	4309782	47050	759718	3503014	0.0109170255015219	0.176277593623065	0.812805380875413	0.837391770920729	0.00177519818361571	0.0286641873254019	0.132168843570253
LOSQ-4QWR-C2-E11-R0-urine-smartseq	4QWR	urine	23579900	21256382	2323518	13766	1521960	787792	0.00592463669315237	0.655023976573455	0.339051386733393	0.901461923078554	0.000583802306201468	0.0645448029889864	0.033409471626258
LOSQ-4QWR-C2-E11-R0-urine-urine	4QWR	urine	25384453	23282871	2101582	36372	938247	1126963	0.01730696208856	0.446447961583226	0.536245076328214	0.917209876454695	0.0014328455295058	0.0369614818960251	0.0443957961197746
LOSQ-4QWR-C2-E2-R1-buccal-buccal	4QWR	buccal	24396358	20468264	3928094	22700	3063527	841867	0.00577888411020714	0.779901652048042	0.214319463841751	0.838988508038782	0.000930466752455428	0.125573128579274	0.0345078966294887
LOSQ-4QWR-C2-E2-R2-buccal-buccal	4QWR	buccal	22785290	18936680	3848610	19946	3025047	803617	0.00518265035948044	0.786010273839126	0.208807075801393	0.831092340716313	0.000875389341105599	0.132763155527097	0.0352691144154847
LOSQ-4QWR-C2-E6-R0-hair-hair	4QWR	hair	22309867	21719141	590726	230	342585	247911	0.000389351408267115	0.579938922613868	0.419671725977865	0.973521760573472	1.03093398091526e-05	0.0153557616457328	0.0111121684409862
LOSQ-4QWR-C2-E8-R0-saliva-saliva	4QWR	saliva	33535438	15873314	17662124	802308	2371148	14488668	0.045425340689489	0.134250444623761	0.82032421468675	0.473329556632002	0.0239241843210755	0.070705741192347	0.432040517854575
LOSQ-4QWR-C2-E8-R0-saliva-smartseq	4QWR	saliva	23723999	14156943	9567056	269504	2761888	6535664	0.0281700033949838	0.288687345406988	0.683142651198028	0.596735103554843	0.0113599735019378	0.116417472450576	0.275487450492643
LOSQ-4QWR-C3-E10-R0-urine-urine	4QWR	urine	22833256	21970828	862428	188	471388	390852	0.000217989211853047	0.546582439345661	0.453199571442486	0.962229302732821	8.23360452841242e-06	0.0206447998480812	0.0171176638145694
LOSQ-4QWR-C3-E3-R0-buccal-buccal	4QWR	buccal	24088398	16350686	7737712	12396	7111414	613902	0.0016020239574696	0.91905901899683	0.0793389570457003	0.678778472524408	0.000514604582670877	0.295221541922381	0.0254853809705403
LOSQ-4QWR-C3-E3-R0-buccal-smartseq	4QWR	buccal	32904323	23438889	9465434	7906	9034900	422628	0.000835249603980124	0.95451513369593	0.04464961670009	0.712334637609775	0.000240272380015234	0.274580941841593	0.012844148168616
LOSQ-4QWR-C3-E5-R0-hair-hair	4QWR	hair	35072860	33369894	1702966	2110	871885	828971	0.00123901475425816	0.511980274415344	0.486780710830398	0.951444906403413	6.01604773605574e-05	0.0248592501438434	0.0236356829753832
LOSQ-4QWR-C3-E9-R1-saliva-saliva	4QWR	saliva	31028389	19513269	11515120	515476	824630	10175014	0.0447651435677613	0.0716128012560877	0.883622055176151	0.628884374241924	0.0166130442672999	0.0265766295504417	0.327925951940334
LOSQ-4QWR-C3-E9-R2-saliva-saliva	4QWR	saliva	30311290	18076714	12234576	441880	1135922	10656774	0.036117312116088	0.092845228146852	0.87103745973706	0.596369009699026	0.014578066456426	0.0374752113816337	0.351577712462914
LOSQ-4QWR-C4-E12-R0-urine-illumina	4QWR	urine	15919367	15857465	61902	84	20579	41239	0.00135698361926917	0.33244483215405	0.666198184226681	0.99611152880639	5.27659171372832e-06	0.00129270215329542	0.0025904924486005
LOSQ-4QWR-C4-E12-R0-urine-urine	4QWR	urine	8309313	6810719	1498594	76	821370	677148	5.07142027794052e-05	0.548093746538422	0.451855539258799	0.819648868685052	9.14636384500139e-06	0.0988493272548525	0.08149265769625
LOSQ-4QWR-C4-E1-R0-buccal-buccal	4QWR	buccal	55227114	48791464	6435650	22098	5747749	665803	0.00343368579708343	0.893110874581433	0.103455439621483	0.883469377016514	0.00040012954506368	0.1040747666083	0.0120557268301219
LOSQ-4QWR-C4-E4-R1-hair-hair	4QWR	hair	31537422	30207592	1329830	1302	687725	640803	0.000979072513027981	0.517152568373401	0.481868359113571	0.957833268679983	4.12842875996649e-05	0.021806633402058	0.0203188136303595
LOSQ-4QWR-C4-E4-R2-hair-hair	4QWR	hair	30608092	29470578	1137514	1212	553704	582598	0.00106548139187737	0.486766756277285	0.512167762330837	0.962836167638283	3.95973718322593e-05	0.0180901181295456	0.0190341168603388
LOSQ-4QWR-C4-E7-R0-saliva-saliva	4QWR	saliva	14650894	6176918	8473976	413238	854252	7206486	0.048765538160599	0.10080887649434	0.850425585345061	0.421606899892935	0.0282056507950982	0.0583071585938715	0.491880290718095
LOSQ-50MF-C1-Ep1-R1-buccal-buccal	50MF	buccal	28767367	12020505	16746862	387748	4458714	11900400	0.0231534719758245	0.266241759202411	0.710604768821765	0.41785210999672	0.0134787448569763	0.154992078350445	0.413677066795859
LOSQ-50MF-C1-Ep1-R2-buccal-buccal	50MF	buccal	20625209	8238323	12386886	319296	2212479	9855111	0.025776938610721	0.178614625176982	0.795608436212297	0.399429794868988	0.0154808613090903	0.107270622081939	0.477818721739983
LOSQ-50MF-C1-Ep2-R0-hair-hair	50MF	hair	23885024	23369754	515270	226	306447	208597	0.000438605003202205	0.594730917771266	0.404830477225532	0.978427067940145	9.46199593519353e-06	0.0128300896829746	0.00873338038094498
LOSQ-50MF-C1-Ep2-R0-hair-illumina	50MF	hair	7740630	7677598	63032	1270	19218	42544	0.0201484960020307	0.304892752887422	0.674958751110547	0.991856993552204	0.00016406933285792	0.00248274365264843	0.00549619346228924
LOSQ-50MF-C1-Ep3-R1-saliva-saliva	50MF	saliva	24041421	4057535	19983886	578000	1504799	17901087	0.0289233035056345	0.0753006197092998	0.895776076785066	0.168772677788056	0.0240418401225119	0.0625919324818612	0.744593549607571
LOSQ-50MF-C1-Ep3-R2-saliva-saliva	50MF	saliva	22327974	3209862	19118112	297208	1102782	17718122	0.015545886539424	0.0576825786981476	0.926771534762428	0.143759662206701	0.0133110151418127	0.0493901506692905	0.793539171982196
LOSQ-50MF-C1-Ep4-R0-urine-urine	50MF	urine	27131510	23295768	3835742	922	3454008	380812	0.000240370702721924	0.900479750723589	0.0992798785736893	0.858624086901171	3.39826275795192e-05	0.127306146985553	0.0140357834856962
LOSQ-50MF-C2-E10-R1-urine-urine	50MF	urine	33579929	31247929	2332000	2390	927877	1401733	0.00102487135506003	0.397888936535163	0.601086192109777	0.930553754297694	7.11734679367547e-05	0.0276318928488503	0.0417431793855192
LOSQ-50MF-C2-E10-R2-urine-urine	50MF	urine	30156943	27955443	2201500	900	951283	1249317	0.000408812173518056	0.432106745400863	0.567484442425619	0.926998568787294	2.98438737639952e-05	0.0315444108509274	0.0414271764880147
LOSQ-50MF-C2-E2-R0-buccal-buccal	50MF	buccal	27786748	22138194	5648554	44412	3503193	2100949	0.00786254322787744	0.620192884763074	0.371944572009049	0.796717701546075	0.00159831585905627	0.126074235099408	0.0756097474954608
LOSQ-50MF-C2-E2-R0-buccal-smartseq	50MF	buccal	29015555	22476447	6539108	14082	5413489	1111537	0.00215350472877952	0.827863525116881	0.169982970154339	0.774634398687187	0.000485325888131383	0.186571961142911	0.0383083142817706
LOSQ-50MF-C2-E5-R1-hair-hair	50MF	hair	41041359	40084333	957026	776	550126	406124	0.000810845264391981	0.574828688039823	0.424360466695785	0.976681425193547	1.89077559541827e-05	0.013404185762952	0.00989548128754703
LOSQ-50MF-C2-E5-R2-hair-hair	50MF	hair	28183400	27445396	738004	320	415773	321911	0.000433601985897095	0.563374995257478	0.436191402756625	0.973814231072191	1.13542014093403e-05	0.0147524074455176	0.0114220072808817
LOSQ-50MF-C2-E8-R0-saliva-illumina	50MF	saliva	2826553	305779	2520774	176858	203013	2140903	0.0701601968284344	0.0805359782352563	0.849303824936309	0.10818088321712	0.0625702047688474	0.0718235249790115	0.757425387035021
LOSQ-50MF-C2-E8-R0-saliva-saliva	50MF	saliva	25081097	6299715	18781382	669618	2001834	16109930	0.0356532868561004	0.106586086157025	0.857760626986875	0.251173822261443	0.02669811452027	0.0798144514970777	0.64231361172121
LOSQ-50MF-C3-E11-R0-urine-urine	50MF	urine	26912540	24732740	2179800	402	1740734	438664	0.000184420589044867	0.798575098632902	0.201240480778053	0.919004300597417	1.49372745939254e-05	0.0646811486392589	0.0162996134887305
LOSQ-50MF-C3-E3-R0-buccal-buccal	50MF	buccal	27629211	25901873	1727338	6196	1123910	597232	0.0035870223430504	0.650660148737537	0.345752828919412	0.937481457577634	0.000224255408523971	0.0406783241113907	0.0216159629024513
LOSQ-50MF-C3-E6-R0-hair-hair	50MF	hair	25107261	24410943	696318	774	438617	256927	0.00111156109708495	0.629909035814096	0.368979403088819	0.972266269904949	3.08277354507128e-05	0.017469727183702	0.0102331751758983
LOSQ-50MF-C3-E6-R0-hair-smartseq	50MF	hair	25510114	24941330	568784	632	303120	265032	0.00111114236687389	0.532926383301921	0.465962474331205	0.977703588466912	2.47744874836702e-05	0.01188234595894	0.0103892910866647
LOSQ-50MF-C3-E7-R0-saliva-saliva	50MF	saliva	31506417	9558113	21948304	782990	1469973	19695341	0.0356742826233863	0.0669743320486175	0.897351385327996	0.303370357854402	0.0248517627377305	0.0466563049679689	0.625121574439899
LOSQ-50MF-C4-E12-R0-urine-smartseq	50MF	urine	17633751	16353115	1280636	1056	727378	552202	0.000824590281703778	0.56798184652001	0.431193563198286	0.927375860076509	5.98851599980061e-05	0.041249193095672	0.031315061667821
LOSQ-50MF-C4-E12-R0-urine-urine	50MF	urine	27150238	24872958	2277280	2760	1022927	1251593	0.00121197217733436	0.449188066465257	0.549599961357409	0.91612301888477	0.000101656567430459	0.037676538968093	0.0460987855797065
LOSQ-50MF-C4-E1-R0-buccal-buccal	50MF	buccal	41047174	36412714	4634460	7526	4078154	548780	0.00162392166509151	0.879963145652352	0.118412932682556	0.887094297892469	0.000183350015764788	0.0993528567886306	0.0133694953031359
LOSQ-50MF-C4-E4-R0-hair-hair	50MF	hair	30563757	29676687	887070	1774	486543	398753	0.0019998421770548	0.548483208765937	0.449516949057008	0.970976408430416	5.80426025504652e-05	0.0159189526339972	0.0130465963330359
LOSQ-50MF-C4-E9-R0-saliva-saliva	50MF	saliva	30900299	16083309	14816990	518394	1038089	13260507	0.0349864581132875	0.0700607208346635	0.894952821052049	0.520490400432695	0.0167763425201808	0.0335947881928262	0.429138468854298
LOSQ-5GRN-C1-Ep1-R0-buccal-buccal	5GRN	buccal	22313162	12860868	9452294	92294	6688304	2671696	0.00976419057638283	0.707585269776839	0.282650539646778	0.576380344480088	0.00413630304839807	0.299747028233829	0.119736324237685
LOSQ-5GRN-C1-Ep2-R0-hair-hair	5GRN	hair	21734754	21010778	723976	1310	493828	228838	0.00180945224703581	0.682105484159696	0.316085063593268	0.966690398244213	6.0272133744877e-05	0.0227206620327978	0.0105286675892444
LOSQ-5GRN-C1-Ep3-R0-saliva-saliva	5GRN	saliva	23048231	6152037	16896194	709858	1602484	14583852	0.0420128935546076	0.0948428977555537	0.863144208689839	0.266920138035756	0.0307988062077302	0.0695274183949302	0.632753637361583
LOSQ-5GRN-C1-Ep3-R0-saliva-smartseq	5GRN	saliva	24268672	12769506	11499166	314414	2942742	8242010	0.0273423307394641	0.255909167673551	0.716748501586985	0.526172425091905	0.0129555502666153	0.121256820315508	0.339615204325972
LOSQ-5GRN-C1-Ep4-R0-urine-urine	5GRN	urine	32684552	30974844	1709708	10344	964571	734793	0.00605015593305991	0.564172946491448	0.429776897575492	0.947690639908419	0.000316479785312646	0.0295115258119493	0.0224813544943189
LOSQ-5GRN-C2-E11-R0-urine-urine	5GRN	urine	15509751	13796951	1712800	302	1126579	585919	0.000176319476879963	0.657741125642223	0.342082554880897	0.889566247710876	1.94716214335098e-05	0.0726368205395432	0.0377774601281478
LOSQ-5GRN-C2-E1-R0-buccal-buccal	5GRN	buccal	39638010	31505960	8132050	72072	4929884	3130094	0.00886270989479897	0.606228933663713	0.384908356441488	0.794842122498077	0.00181825475093225	0.124372641310702	0.0789669814402893
